Iteration  0 , Training  0   1
         2.37039993e-03,   1.65323617e-03,   7.40514778e-04,
         3.95888101e-03,   2.76990190e-03,   4.68116483e-03,
         9.80876484e-04,   1.88201709e-03,   4.56748409e-03,
         2.62275153e-03,   2.70793095e-03,   3.65255212e-03,
         4.73102401e-03,   3.84172033e-03,   3.38657710e-03,
         4.34984056e-04,   9.52053770e-04,   2.67238878e-03,
         3.57073906e-03,   1.34983746e-03,   1.90043375e-03,
         2.60046191e-03,   8.45747592e-04,   3.10166397e-03,
         1.47429793e-03,   5.53550425e-04,   3.68429011e-03,
         4.50672962e-03,   1.45382941e-04,   1.13881124e-03,
         1.87683598e-03,   4.45809752e-03,   6.05211202e-04,
         1.55266520e-03,   3.19455528e-03,   4.38279212e-03,
         4.84680261e-03,   3.02189335e-03,   4.65981095e-03,
         4.68972372e-03,   1.69739290e-03,   3.87214659e-03,
         3.80578675e-03,   2.72694303e-03,   1.86715395e-03,
         2.11687163e-03,   6.69839456e-05,   4.65170291e-03,
         1.86611966e-03,   1.73917362e-03,   1.79374474e-03,
         2.92252297e-03,   3.54406706e-03,   3.33085538e-03,
         9.33973707e-04,   3.06070982e-03,   3.00622550e-03,
         4.90712648e-03,   2.80592574e-03,   2.63202520e-03,
         3.10109658e-03,   2.52376298e-03,   3.30453742e-03,
         1.84965860e-03,   5.35899036e-04,   4.39702300e-03,
         3.11715087e-04,   4.37200432e-03,   4.31884825e-04,
         3.85772974e-03,   3.99539422e-03,   3.07531475e-03,
         3.76419807e-03,   2.67691024e-03,   3.18059827e-03,
         5.00000000e-03,   2.63911337e-03,   4.02612148e-04,
         4.37202325e-03,   5.00000000e-03,   3.78838097e-03,
         2.61458821e-03,   1.24568703e-03,   4.70147700e-03,
         1.98590420e-03,   5.00000000e-03,   1.62793290e-03,
         4.85628176e-03,   2.69404076e-03,   2.90363365e-03,
         5.00000000e-03,   1.02785904e-03,   5.70277173e-04,
         3.37598229e-03,   2.44649742e-03,   4.69817506e-03,
         4.14205740e-03,   3.85555373e-03,   2.93057666e-03,
         4.28265073e-04,   7.91224866e-04,   3.08263644e-03,
         3.10397413e-03,   1.16908843e-03,   1.51541707e-03,
         5.00000000e-03,   2.92364383e-03,   4.52013385e-03,
         3.44995528e-03,   4.33611212e-04,   1.07926136e-03,
         4.48930957e-04,   5.00000000e-03,   3.59871019e-04,
         3.45268880e-04,   5.00000000e-03,   5.28959691e-04,
         4.60965983e-03,   5.00000000e-03,   2.77704207e-03,
         5.00000000e-03,   2.96875243e-03,   4.08790861e-03,
         4.73121269e-03,   3.69907523e-03,   4.33210160e-03,
         5.00000000e-03,   1.75093501e-03,   3.40726338e-03,
         4.71114700e-03,   3.87863749e-04,   4.76893980e-03,
         1.13244807e-03,   1.50397220e-03,   2.39458088e-03,
         8.65491770e-04,   3.76161556e-04,   4.05034656e-03,
         1.85914173e-03,   1.75418065e-03,   4.48113265e-03,
         4.91175667e-03,   3.58471912e-03,   3.34222932e-03,
         3.82845896e-03,   2.85078455e-03,   3.57284640e-03,
         1.76056939e-03,   4.25661824e-03,   4.55274783e-03,
         1.00771300e-03,   3.64027391e-03,   7.41044330e-04,
         4.47928974e-04,   4.44411379e-03,   1.02574134e-03,
         1.46299871e-03,   2.51614512e-03,   1.68185112e-03,
         2.20331930e-03,   4.36718967e-03,   1.38988658e-04,
         1.13223113e-03,   4.46783522e-03,   4.33687176e-03,
         3.84868469e-03,   2.22935768e-04,   4.99899219e-03,
         4.50185915e-03,   1.32497094e-03,   2.12953604e-03,
         1.81794568e-03,   1.04940072e-03,   3.11925118e-03,
         2.99937874e-04,   2.21516387e-03,   2.31589219e-03,
         1.19067476e-04,   5.01722204e-04,   3.26443353e-03,
         4.33534487e-03,   2.27686841e-03,   4.48835162e-03,
         6.87313463e-06,   4.92738817e-03,   4.60370783e-03,
         4.90085358e-04,   5.54942878e-04,   2.96969726e-03,
         1.85278849e-03,   4.64540006e-03,   1.89399803e-03,
         2.91571888e-03,   4.50655751e-03,   2.82218956e-04,
         3.18087980e-03,   3.93979706e-03,   2.40234410e-03,
         4.49437141e-03,   1.00412927e-03,   6.77917358e-04,
         2.80992751e-03,   8.44494551e-04,   1.67292936e-03,
         1.62925890e-03,   4.65644264e-03,   1.51149820e-03,
         2.09706054e-03,   1.65439554e-03,   2.60759975e-03,
         1.79720744e-03,   2.51089911e-03,   3.96000969e-03,
         1.58404192e-03,   4.22594725e-03,   4.43546312e-03,
         2.82036419e-03,   2.36275979e-03,   4.13459396e-03,
         2.38702657e-03,   2.68203485e-03,   3.69819993e-04,
         3.78988969e-03,   3.25108064e-04,   4.56414692e-03,
         3.92223297e-03,   4.56897650e-03,   1.43961530e-03,
         1.08825518e-03,   2.56696846e-03,   4.28275055e-03,
         4.03729925e-03,   3.20187281e-03,   4.55236439e-03,
         2.31765782e-03,   4.08161154e-03,   2.11334588e-03,
         4.58753837e-03,   3.40579380e-03,   2.29162503e-03,
         2.68238035e-03,   6.91491295e-04,   3.37371574e-03,
         4.87334573e-03,   4.71830175e-04,   3.23143027e-03,
         2.85661572e-03,   4.97410706e-03,   1.14208592e-03,
         1.26508717e-03,   1.00707918e-03,   3.93404440e-04,
         2.69072608e-03,   2.22085113e-03,   4.97329687e-03,
         2.66318912e-03,   4.03058787e-03,   5.00000000e-03,
         4.48225963e-03,   4.78658418e-03,   4.45172717e-03,
         1.13258964e-03,   9.70641035e-04,   1.81332485e-03,
         4.14654011e-03,   4.76469412e-03,   8.51050360e-04,
         4.58074345e-03,   2.70698076e-03,   3.93872639e-03,
         5.00000000e-03,   4.96142895e-03,   3.52300497e-03,
         4.45420383e-03,   3.25276472e-04,   1.63678470e-03,
         2.34288873e-03,   1.27633837e-03,   4.53167372e-03,
         4.42447908e-03,   4.78713028e-03,   8.19843960e-04,
         5.00000000e-03,   4.29424625e-03,   1.42959443e-03,
         9.70941709e-04,   6.35571876e-04,   3.00981696e-03,
         1.69602685e-03,   8.74880970e-04,   2.73712798e-03,
         2.78372094e-03,   7.52289833e-04,   5.16220565e-04,
         9.63076665e-04,   1.62366248e-03,   1.04818267e-03,
         4.31904113e-03,   2.83252274e-03,   2.96816483e-03,
         4.56035136e-03,   1.64077684e-03,   2.67154244e-03,
         3.44500136e-03,   2.67535332e-03,   6.66128305e-04,
         4.76866360e-03,   2.37124176e-03,   4.75327129e-03,
         2.07331702e-03,   1.27966799e-03,   2.81954164e-03,
         4.82210005e-03,   2.91492811e-03,   1.35032162e-03,
         3.80880540e-03,   7.29267939e-04,   1.67414821e-04,
         1.05308532e-03,   2.54194517e-03,   2.83988916e-03,
         2.92106880e-03,   1.83927312e-03,   3.60311489e-03,
         2.38585359e-03,   8.03598464e-04,   2.18403126e-03,
         4.16294076e-03,   4.63093874e-03,   2.63321915e-04,
         2.16117947e-03,   7.65036766e-04,   3.72884202e-03,
         1.56619257e-03,   3.46965112e-03,   2.09448528e-03,
         4.67588387e-03,   4.37141387e-03,   3.36168137e-03,
         4.00885502e-03,   1.21347551e-03,   9.49462827e-04,
         3.33017434e-04,   4.79218722e-03,   4.71759904e-03,
         3.73024988e-04,   2.85958355e-03,   7.73280410e-04,
         9.76398736e-04,   1.44716663e-03,   2.24166373e-03,
         3.86182734e-03,   4.30891126e-03,   3.87223261e-03,
         2.42691232e-03,   3.66215696e-03,   8.57714265e-05,
         9.63809952e-04,   4.45012295e-03,   6.57457452e-07,
         2.67145631e-03,   1.99377716e-03,   1.43083949e-03,
         2.46434843e-03,   1.22803734e-03,   8.54784743e-04,
         4.40902417e-03,   2.78065230e-04,   4.10914544e-03,
         2.00250732e-03,   2.63789870e-03,   4.70432330e-03,
         4.77791780e-03,   4.10829012e-03,   1.75890370e-03,
         4.66142861e-04,   4.73182669e-03,   2.19183264e-03,
         4.98390097e-04,   2.97476153e-03,   2.74026383e-03,
         3.41263414e-03,   2.52026321e-03,   2.52519152e-03,
         4.47070741e-03,   1.70268555e-03,   4.28858883e-03,
         4.43783720e-03,   2.67698395e-03,   1.73646354e-04,
         3.92352547e-03,   2.11534251e-03,   4.08506917e-03,
         2.16347557e-03,   4.08859057e-03,   1.40302603e-03,
         4.00882853e-04,   3.06194750e-03,   2.84247828e-03,
         3.14861736e-04,   1.29790357e-03,   2.38409257e-04,
         4.00475191e-04,   1.87618339e-03,   5.29345991e-05,
         4.74678876e-03,   2.33917527e-03,   7.77116701e-04,
         3.70884296e-03,   1.42395345e-03,   4.41646308e-03,
         6.42900989e-05,   3.52582011e-03,   1.74325050e-03,
         2.48057279e-03,   3.14446714e-03,   3.38729219e-03,
         3.51750178e-03,   3.29621956e-03,   1.14989586e-03,
         2.60633237e-03,   4.37027415e-03,   5.18754818e-04,
         4.68006477e-03,   2.80668627e-03,   4.03895969e-03,
         1.19907209e-03,   3.19119092e-04,   4.58968810e-03,
         2.84851897e-04,   4.50879185e-03,   4.56811598e-03,
         4.24521745e-03,   1.92619028e-03,   8.70801723e-04,
         2.20560397e-03,   1.24668891e-03,   3.97615797e-03,
         1.78866168e-03,   2.93412468e-03,   4.54648501e-03,
         2.81602816e-03,   3.69971507e-03,   2.95830170e-04,
         4.04857602e-03,   1.79811646e-03,   1.17083425e-03,
         1.54796373e-03,   3.28479654e-03,   3.82154931e-04,
         1.00234221e-04,   1.48040557e-03,   1.10622707e-03,
         3.16327795e-03,   1.68785120e-03,   2.13927238e-04,
         4.47615154e-03,   3.08072981e-03,   1.03563288e-03,
         3.66924768e-03,   1.01145497e-03,   3.22617812e-03,
         1.64731195e-03,   1.50508021e-03,   4.81937301e-03,
         3.00215897e-03,   4.47657873e-03,   4.77513466e-03,
         2.89033874e-03,   4.23805300e-03,   3.56758302e-03,
         9.31743453e-04,   4.77085742e-03,   4.74280093e-03,
         2.85638822e-03,   6.29661379e-04,   4.80602128e-03,
         4.30982712e-03,   2.29577975e-03,   6.78012979e-04,
         2.23815422e-03,   2.79322840e-03,   4.18855005e-03,
         2.37893493e-03,   4.94867828e-03,   5.66251107e-04,
         3.63710384e-03,   4.96913805e-03,   5.37195746e-04,
         2.30263344e-03,   1.82171320e-03,   7.12523681e-04,
         1.79761480e-03,   1.31062173e-03,   5.23484420e-05,
         4.48905314e-03,   1.08644481e-03,   2.01236556e-03,
         3.11018660e-03,   5.04739125e-04,   3.98016843e-03,
         3.92758429e-03,   3.09040898e-03,   2.98482547e-03,
         4.30652814e-03,   1.33834474e-03,   4.63944035e-03,
         4.10305264e-03,   3.98539922e-03,   7.65442412e-04,
         3.76518497e-03,   2.77561693e-03,   4.50634625e-03,
         2.69720596e-03,   6.58557057e-04,   2.53023081e-03,
         2.45428392e-03,   2.30252198e-03,   7.06135993e-04,
         1.73089844e-03,   3.19306314e-03,   1.42405902e-03,
         3.22394653e-03,   4.74700223e-03,   5.65379193e-04,
         5.21594662e-04,   9.25843420e-04,   4.96559719e-03,
         3.15859766e-03,   1.72233195e-03,   1.59542297e-03,
         1.48923567e-03,   1.89733643e-03,   1.57628593e-03,
         2.75951589e-03,   3.30300272e-03,   3.68314236e-03,
         4.92306642e-03,   2.48029389e-03,   2.23307623e-03,
         3.83867951e-03,   4.80902754e-03,   3.97510429e-03,
         1.02046897e-03,   5.33605389e-05,   1.15498504e-03,
         1.86260518e-03,   8.73542072e-04,   1.57154612e-03,
         4.75094019e-03,   8.19141488e-05,   1.82247839e-03,
         3.66292593e-03,   3.61468358e-03,   3.28073449e-03,
         1.66381256e-03,   1.83960537e-03,   2.99642949e-03,
         6.75727450e-04,   1.54353423e-03,   4.63294357e-03,
         4.26041025e-03,   6.68859949e-04,   2.37906551e-03,
         4.45528263e-03,   4.37245550e-03,   1.15326152e-03,
         3.99484108e-03,   2.14502333e-03,   1.66710241e-03,
         1.36804638e-03,   2.37219287e-03,   2.32465292e-03,
         1.96955794e-03,   4.75347348e-03,   7.01193560e-04,
         2.61552984e-03,   2.27978356e-04,   2.67810899e-03,
         4.93567535e-03,   1.86888698e-03,   2.78463905e-03,
         3.27829545e-03,   1.22416303e-03,   2.40640178e-03,
         4.19691351e-03,   1.79518759e-03,   3.48942072e-03,
         4.30982238e-03,   4.06680888e-03,   3.17478776e-03,
         4.33382034e-03,   1.12729634e-03,   1.60469109e-03,
         1.47659310e-03,   2.47181089e-03,   3.16367375e-03,
         3.75490675e-03,   2.75070161e-03,   2.54601674e-03,
         1.64769965e-03,   4.57542388e-03,   3.98593903e-03,
         1.58121339e-04,   2.89846958e-03,   2.53599585e-03,
         1.66779092e-03,   3.85451705e-03,   4.25151709e-04,
         1.85751314e-03,   3.20503219e-03,   5.23016609e-04,
         1.65283260e-03,   8.12048637e-05,   3.63610395e-03,
         3.90702887e-03,   1.00228406e-03,   1.63781250e-03,
         1.32218464e-03,   1.66322398e-03,   2.63497639e-03,
         6.90489928e-06,   1.02825224e-03,   3.66704242e-03,
         4.31007863e-04,   3.23473096e-03,   2.88931546e-03,
         3.22702932e-03,   7.51265578e-04,   9.87792484e-04,
         3.54773137e-04,   1.31942932e-03,   1.01721495e-03,
         4.81071732e-03,   4.48316254e-03,   4.70065258e-03,
         7.38708418e-04,   1.55798542e-03,   2.32372819e-03,
         6.58590451e-04,   5.67149182e-04,   3.34857336e-03,
         4.96789038e-03,   1.40716441e-03,   3.45393080e-03,
         4.97793810e-03,   1.71345531e-03,   3.48099734e-03,
         4.60254533e-03,   1.90799353e-03,   4.42671526e-03,
         3.58973184e-03,   2.71039691e-03,   1.53532851e-03,
         1.20240459e-03,   4.92229114e-03,   1.51556872e-03,
         9.05865268e-04,   3.12788664e-03,   1.42183708e-03,
         5.44643309e-04,   2.07651783e-03,   4.14449026e-03,
         7.85245371e-05,   1.24524212e-03,   4.14436452e-03,
         7.19181010e-04,   6.60525446e-04,   2.74763797e-03,
         4.42867893e-03,   8.56334310e-04,   3.56204620e-03,
         3.33481895e-03,   3.42871403e-03,   2.42675457e-03,
         1.10646471e-03,   2.13582701e-03,   2.03020507e-03,
         5.03115310e-04,   3.75933347e-03,   4.17080597e-03,
         7.69066712e-04,   2.94994627e-03,   3.41386443e-03,
         6.81594424e-04,   3.37799721e-03,   6.32746047e-04,
         2.10824016e-03,   4.31295544e-04,   1.55435205e-03,
         1.25077418e-03,   1.83879643e-03,   2.03370468e-03,
         6.80880005e-04,   3.43583525e-03,   5.16331197e-04,
         2.14300351e-03,   3.58378354e-04,   4.45905692e-03,
         2.01210373e-03,   4.16293947e-03,   4.66356873e-03,
         3.02633454e-03,   3.64239115e-03,   2.04448797e-03,
         2.85067361e-03,   4.71207026e-03,   3.17236195e-03,
         3.38692651e-04,   1.66000179e-03,   4.48260794e-03,
         4.00863033e-03,   4.31219704e-03,   3.55079488e-04,
         5.00000000e-03,   3.72875442e-04,   2.11710138e-03,
         4.87069776e-03,   1.52909838e-03,   1.52552613e-03,
         2.81473487e-03,   6.63353501e-04,   3.89353736e-04,
         4.57313538e-03,   3.71459702e-03,   1.25953617e-03,
         1.88583937e-03,   3.36798886e-03,   1.02910831e-03,
         3.13437958e-03,   2.97176151e-03,   1.03811688e-03,
         1.08746335e-03,   1.30875543e-03,   2.77614002e-03,
         3.75755200e-03,   3.29859084e-03,   5.00000000e-03,
         1.74289013e-03,   3.99229284e-03,   3.36073643e-03,
         3.40719474e-03,   1.43516901e-03,   3.27763968e-03,
         5.00000000e-03,   4.67214598e-03,   4.72274123e-03,
         1.00633563e-03,   2.73116437e-04,   9.88880845e-04,
         9.27329974e-04,   3.09005090e-03,   2.18675011e-03,
         4.64638741e-03,   3.86167977e-03,   3.24210572e-03,
         4.83595427e-03,   4.00392659e-03,   3.58622604e-03,
         3.83303045e-03,   2.37535005e-03,   1.50910223e-03,
         1.02324160e-03,   1.54600750e-03,   2.45007529e-03,
         8.98404694e-04,   1.48298109e-03,   1.16034424e-03,
         3.92304435e-03,   2.87877673e-03,   4.28909153e-04,
         3.91321990e-03,   5.00000000e-03,   4.09086682e-03,
         2.03922455e-03,   1.60149469e-03,   9.23569993e-04,
         4.71234364e-03,   6.12447822e-04,   4.06048807e-04,
         4.67059303e-03,   4.92238792e-03,   3.48964485e-03,
         1.63961146e-03,   3.37460176e-03,   2.22193954e-03,
         1.62312038e-04,   2.74150296e-03,   3.43941014e-03,
         3.39623303e-03,   4.65737362e-03,   1.79025279e-03,
         4.78461933e-03,   2.74510923e-03,   4.50982278e-03,
         1.53926102e-03,   2.72192064e-03,   3.83027713e-03,
         2.47179441e-03,   4.42275458e-03,   3.33485253e-03,
         3.66887692e-03,   4.05445681e-03,   1.27679329e-03,
         2.63167338e-03,   4.10731335e-03,   2.75631248e-03,
         1.54329260e-03,   2.03504435e-03,   3.24713424e-03,
         9.65051146e-04,   4.38209087e-04,   3.04408381e-03,
         9.48851300e-04,   4.81210357e-03,   4.80018942e-03,
         4.57730215e-03,   3.63553422e-03,   7.06040821e-04,
         4.37017379e-03,   4.29155655e-03,   4.10158381e-03,
         4.83613899e-04,   5.64412832e-04,   1.18028601e-03,
         3.91687009e-03,   2.99461054e-03,   3.95691208e-03,
         4.85182495e-04,   4.19929875e-03,   4.88103836e-03,
         4.99292706e-03,   2.41439236e-03,   9.82313898e-04,
         1.42258907e-03,   4.80485908e-03,   3.41640510e-03,
         4.24695186e-03,   4.49590719e-03,   2.75946481e-03,
         1.54566107e-04,   2.32456335e-03,   3.92640524e-03,
         1.29414356e-03,   5.46246280e-04,   4.17073509e-03,
         7.63302904e-04,   1.28634835e-05,   4.53778669e-03,
         4.75139613e-03,   3.26528562e-03,   4.85623514e-03])>
Hidden to Output Layer        =  <synapses_3.w: array([  2.19466249e-03,   0.00000000e+00,   4.92397279e-04,
         3.34697330e-03,   2.99118702e-03,   3.45485842e-03,
         3.50725935e-03,   3.62358067e-03,   1.59025729e-03,
         1.54850882e-03,   1.85577004e-03,   1.54594167e-05,
         2.73219206e-03,   2.19829227e-03,   1.60749690e-03,
         2.29209536e-03,   3.81599309e-03,   1.44567764e-03,
         2.42435015e-04,   2.46218063e-03,   3.95280137e-03,
         1.43096203e-03,   3.84062877e-04,   0.00000000e+00,
         3.07563921e-03,   2.16349021e-03,   1.29916325e-03,
         0.00000000e+00,   3.96120629e-03,   1.43958433e-04,
         3.09913090e-03,   1.44543397e-03,   0.00000000e+00,
         3.96848054e-03,   3.57795539e-03,   4.42096863e-05,
         3.14032036e-03,   1.57300065e-03,   8.57200922e-04,
         2.17480076e-03,   2.76572122e-03,   3.83253291e-03,
         3.11740046e-03,   3.61815707e-03,   2.89283396e-03,
         3.88237516e-03,   1.08735126e-03,   2.14262843e-03,
         0.00000000e+00,   2.52523792e-03,   2.45054248e-03,
         0.00000000e+00,   2.76815612e-03,   8.03574978e-04,
         0.00000000e+00,   2.82837968e-03,   0.00000000e+00,
         0.00000000e+00,   6.06972033e-04,   0.00000000e+00])>
Output Spike Count = <spikemonitor_1.count: array([0])>
************************** TRAINING DONE, NOW TESTING *******************************************************
Iteration  0 , Testing 0,0
Output Spike Count = <spikemonitor.count: array([0])>
Iteration  0 , Testing 1,0
Output Spike Count = <spikemonitor.count: array([7])>
Iteration  0 , Testing 0,1
Output Spike Count = <spikemonitor.count: array([13])>
Iteration  0 , Testing 1,1
Output Spike Count = <spikemonitor.count: array([33])>
Iteration  1 , Testing 0,0
Output Spike Count = <spikemonitor_1.count: array([0])>
Iteration  1 , Testing 1,0
Output Spike Count = <spikemonitor_1.count: array([6])>
Iteration  1 , Testing 0,1
Output Spike Count = <spikemonitor_1.count: array([12])>
Iteration  1 , Testing 1,1
Output Spike Count = <spikemonitor_1.count: array([36])>
Iteration  2 , Testing 0,0
Output Spike Count = <spikemonitor.count: array([0])>
Iteration  2 , Testing 1,0
Output Spike Count = <spikemonitor.count: array([4])>
Iteration  2 , Testing 0,1
Output Spike Count = <spikemonitor.count: array([10])>
Iteration  2 , Testing 1,1
Output Spike Count = <spikemonitor.count: array([32])>
Iteration  3 , Testing 0,0
Output Spike Count = <spikemonitor_1.count: array([0])>
Iteration  3 , Testing 1,0
Output Spike Count = <spikemonitor_1.count: array([2])>
Iteration  3 , Testing 0,1
Output Spike Count = <spikemonitor_1.count: array([10])>
Iteration  3 , Testing 1,1
Output Spike Count = <spikemonitor_1.count: array([25])>
Iteration  4 , Testing 0,0
Output Spike Count = <spikemonitor.count: array([0])>
Iteration  4 , Testing 1,0
Output Spike Count = <spikemonitor.count: array([1])>
Iteration  4 , Testing 0,1
Output Spike Count = <spikemonitor.count: array([7])>
Iteration  4 , Testing 1,1
Output Spike Count = <spikemonitor.count: array([31])>
Iteration  5 , Testing 0,0
Output Spike Count = <spikemonitor_1.count: array([0])>
Iteration  5 , Testing 1,0
Output Spike Count = <spikemonitor_1.count: array([8])>
Iteration  5 , Testing 0,1
Output Spike Count = <spikemonitor_1.count: array([13])>
Iteration  5 , Testing 1,1
Output Spike Count = <spikemonitor_1.count: array([31])>
Iteration  6 , Testing 0,0
Output Spike Count = <spikemonitor.count: array([0])>
Iteration  6 , Testing 1,0
Output Spike Count = <spikemonitor.count: array([9])>
Iteration  6 , Testing 0,1
Output Spike Count = <spikemonitor.count: array([13])>
Iteration  6 , Testing 1,1
Output Spike Count = <spikemonitor.count: array([35])>
Iteration  7 , Testing 0,0
Output Spike Count = <spikemonitor_1.count: array([0])>
Iteration  7 , Testing 1,0
Output Spike Count = <spikemonitor_1.count: array([12])>
Iteration  7 , Testing 0,1
Output Spike Count = <spikemonitor_1.count: array([17])>
Iteration  7 , Testing 1,1
Output Spike Count = <spikemonitor_1.count: array([36])>
Iteration  8 , Testing 0,0
Output Spike Count = <spikemonitor.count: array([0])>
Iteration  8 , Testing 1,0
Output Spike Count = <spikemonitor.count: array([10])>
Iteration  8 , Testing 0,1
Output Spike Count = <spikemonitor.count: array([18])>
Iteration  8 , Testing 1,1
Output Spike Count = <spikemonitor.count: array([26])>
Iteration  9 , Testing 0,0
Output Spike Count = <spikemonitor_1.count: array([0])>
Iteration  9 , Testing 1,0
Output Spike Count = <spikemonitor_1.count: array([9])>
Iteration  9 , Testing 0,1
Output Spike Count = <spikemonitor_1.count: array([12])>
Iteration  9 , Testing 1,1
Output Spike Count = <spikemonitor_1.count: array([32])>
